Title,Description,Work Environment,2023 Median Pay (in $/year),Typical Entry-Level Education,"Number of Jobs, 2023","Job Outlook, 2023-33 (in %)","Employment Change, 2023-33"
Data Scientists,Data scientists use analytical tools and techniques to extract meaningful insights from data.,Data scientists spend much of their time in an office setting. Most work full time.,108020,Bachelor's degree,202900,36,73100
"Software Developers, Quality Assurance Analysts, and Testers",Software developers design computer applications or programs. Software quality assurance analysts and testers identify problems with applications or programs and report defects.,"Many software developers, quality assurance analysts, and testers work in computer systems design and related services, in manufacturing, or for software publishers. They often work in offices and on teams with other software developers or quality assurance analysts and testers.",130160,Bachelor's degree,1897100,17,327900
Information Security Analysts,Information security analysts plan and carry out security measures to protect an organization’s computer networks and systems.,"Most information security analysts work for computer companies, consulting firms, or business and financial companies.",120360,Bachelor's degree,180700,33,59100
Computer Programmers,"Computer programmers write, modify, and test code and scripts that allow computer software and applications to function properly.","Programmers usually work in office settings, most commonly in the computer systems design and related services industry. Most computer programmers work full time.",99700,Bachelor's degree,139400,-10,-13400
Computer and Information Research Scientists,Computer and information research scientists design innovative uses for new and existing computing technology.,Most computer and information research scientists work full time.,145080,Master's degree,36600,26,9400
Database Administrators and Architects,Database administrators and architects create or organize systems to store and secure data.,"Many database administrators and architects work in firms that provide computer design services or in industries that have large databases, such educational institutions and insurance companies. Most database administrators and architects work full time.",117450,Bachelor's degree,141900,9,13200
Aerospace Engineering and Operations Technologists and Technicians,"Aerospace engineering and operations technologists and technicians run and maintain equipment used to develop, test, produce, and sustain aircraft and spacecraft.","Aerospace engineering and operations technologists and technicians usually work in manufacturing plants, laboratories, and offices. Most work full time.",77830,Associate's degree,11000,8,900
Athletic Trainers,"Athletic trainers specialize in preventing, diagnosing, and treating muscle and bone injuries and illnesses.","Many athletic trainers work in educational settings, such as colleges, universities, elementary schools, and secondary schools. Others work in hospitals, fitness centers, or physicians’ offices, or for professional sports teams.",57930,Master's degree,34300,13,4300
Dentists,"Dentists diagnose and treat problems with patients’ teeth, gums, and related parts of the mouth.",Some dentists have their own business and work alone or with a small staff. Other dentists have partners in their practice. Still others work as associate dentists for established dental practices.,170910,Doctoral or professional degree,160600,5,7300
Health Information Technologists and Medical Registrars,Health information technologists and medical registrars advise organizations on computerized healthcare systems and analyze clinical data.,Health information technologists and medical registrars usually work in an office setting and may spend many hours at a computer. Most work full time.,62990,Associate's degree,39100,16,6400
